Sample date,Amount,Notes,CC (pg/well),%Binding,CF,dilution,CC (pg/ml),CC (pg/g),CC (ng/g),construction_status,name,construction_dummy
2014-10-17,0.5094,0.39583333333333331,62.328,NA,20,75,93492,183533.56890459365,183.53356890459364,Demo,Sabrena,1
2014-10-20,0.5072,AM,50.421,NA,20,75,75631.5,149115.7334384858,149.1157334384858,Demo,Sabrena,1
2014-10-22,0.5013,NA,54.822,NA,20,75,82233,164039.49730700182,164.03949730700182,Demo,Sabrena,1
2014-10-24,0.5244,0.33333333333333331,34.699,NA,20,75,52048.5,99253.43249427919,99.25343249427918,Demo,Sabrena,1
2014-10-27,0.5231,NA,42.757,NA,20,75,64135.5,122606.57618046262,122.60657618046262,Demo,Sabrena,1
2014-10-29,0.503,AM,24.125,NA,20,75,36187.5,71943.33996023856,71.94333996023856,Demo,Sabrena,1
2014-10-31,0.5173,NA,18.867,NA,20,75,28300.500000000004,54708.09974869516,54.70809974869516,Demo,Sabrena,1
2014-11-05,0.5238,AM,29.234,NA,20,75,43851.00000000001,83717.06758304697,83.71706758304697,Demo,Sabrena,1
2014-11-07,0.5217,AM,50.541,NA,20,75,75811.5,145316.27372052902,145.316273720529,Demo,Sabrena,1
2014-11-14,0.5286,AM,26.222,NA,20,75,39333.00000000001,74409.76163450626,74.40976163450625,Demo,Sabrena,1
2014-11-17,0.5094,AM,43.575,NA,20,75,65362.5,128312.72084805655,128.31272084805656,Demo,Sabrena,1
2014-11-19,0.4939,AM,48.025,NA,20,75,72037.5,145854.42397246405,145.85442397246405,Demo,Sabrena,1
2014-11-21,0.495,0.41666666666666669,97.346,NA,20,75,146019,294987.8787878788,294.9878787878788,Demo,Sabrena,1
2014-11-24,0.4872,NA,59.695,NA,20,75,89542.5,183790.02463054186,183.79002463054186,Demo,Sabrena,1
2014-11-26,0.5233,0.41666666666666669,87.772,NA,20,75,131658,251591.82113510414,251.59182113510414,Demo,Sabrena,1
2014-11-28,0.4934,NA,65.697,NA,20,75,98545.5,199727.40170247265,199.72740170247266,Demo,Sabrena,1
2014-12-01,0.5281,0.33333333333333331,42.478,NA,20,75,63717.00000000001,120653.28536262072,120.65328536262072,Demo,Sabrena,1
2014-12-05,0.4857,0.39583333333333331,112.504,NA,20,75,168756,347449.04261890054,347.44904261890053,Demo,Sabrena,1
2014-12-08,0.4903,NA,50.641,NA,20,75,75961.5,154928.61513359167,154.92861513359168,Demo,Sabrena,1
2014-12-10,0.4848,NA,64.551,NA,20,75,96826.5,199724.6287128713,199.7246287128713,Demo,Sabrena,1
2014-12-12,0.4893,0.36458333333333331,35.037,NA,20,75,52555.5,107409.5646842428,107.4095646842428,Demo,Sabrena,1
2014-12-22,0.4828,0.41666666666666669,39.303,NA,20,75,58954.49999999999,122109.56917978458,122.10956917978459,No Construction,Sabrena,0
2014-12-24,0.4954,AM,46.76,NA,20,75,70140,141582.55954784012,141.58255954784013,No Construction,Sabrena,0
2014-12-29,0.5052,AM,60.516,NA,20,75,90774,179679.3349168646,179.6793349168646,No Construction,Sabrena,0
2015-01-02,0.5017,0.35416666666666669,32.761,NA,20,75,49141.5,97949.97010165437,97.94997010165437,No Construction,Sabrena,0
2015-01-05,0.5071,NA,32.761,NA,20,75,49141.5,96906.92171169394,96.90692171169394,No Construction,Sabrena,0
2015-01-14,0.5192,NA,37.411,NA,20,75,56116.5,108082.62711864407,108.08262711864407,No Construction,Sabrena,0
2015-01-21,0.4809,AM,12.064,NA,20,75,18096,37629.444791016846,37.629444791016844,No Construction,Sabrena,0
2015-01-21,0.5166,AM,54.089,NA,20,75,81133.5,157052.8455284553,157.0528455284553,No Construction,Sabrena,0
2015-01-28,0.4819,0.45833333333333331,83.483,NA,20,75,125224.5,259855.7792073044,259.8557792073044,No Construction,Sabrena,0
2015-02-04,0.4819,AM,66.755,NA,20,75,100132.5,207786.88524590165,207.78688524590166,No Construction,Sabrena,0
2015-02-09,0.4963,AM,95.935,NA,20,75,143902.5,289950.63469675597,289.95063469675597,No Construction,Sabrena,0
2015-02-17,0.4996,AM,46.204,NA,20,75,69306,138722.97838270618,138.72297838270617,No Construction,Sabrena,0
2015-02-25,0.4872,0.39583333333333331,60.629,NA,20,75,90943.5,186665.64039408867,186.66564039408865,No Construction,Sabrena,0
2015-03-04,0.4914,0.30208333333333331,41.907,NA,20,75,62860.49999999999,127921.2454212454,127.9212454212454,No Construction,Sabrena,0
2015-03-11,0.4896,0.41666666666666669,88.633,NA,20,75,132949.5,271547.18137254904,271.54718137254906,No Construction,Sabrena,0
2015-03-18,0.4941,0.4375,96.345,NA,20,75,144517.5,292486.3387978142,292.4863387978142,No Construction,Sabrena,0
2015-03-25,0.5179,NA,67.716,NA,20,75,101574,196126.66537941687,196.12666537941686,No Construction,Sabrena,0
2015-04-01,0.5085,NA,18.878,74.989,20,100,37756,74249.75417895772,74.24975417895772,No Construction,Sabrena,0
2015-04-06,0.4891,NA,17.163,76.467,20,100,34326,70181.96687793908,70.18196687793908,No Construction,Sabrena,0
2015-04-08,0.5017,NA,40.646,61.653,20,100,81292,162033.08750249151,162.03308750249153,Active Construction,Sabrena,1
